# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         12.518
 8.7857      0.032         14.994
 8.7143      0.038         17.422
 8.6429      0.045         19.793
 8.5714      0.051         22.098
 8.5000      0.057         24.320
 8.4286      0.063         26.440
 8.3571      0.069         28.429
 8.2857      0.075         30.240
 8.2143      0.082         31.795
 8.1429      0.088         32.940
 8.0714      0.094         33.289
 8.0000      0.100         30.926
