# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.862
 8.8571      0.026          9.622
 8.7857      0.032         11.354
 8.7143      0.038         13.054
 8.6429      0.045         14.716
 8.5714      0.051         16.332
 8.5000      0.057         17.893
 8.4286      0.063         19.384
 8.3571      0.069         20.784
 8.2857      0.075         22.060
 8.2143      0.082         23.156
 8.1429      0.088         23.958
 8.0714      0.094         24.174
 8.0000      0.100         22.188
