# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.130
 8.8571      0.026         11.071
 8.7857      0.032         13.974
 8.7143      0.038         16.830
 8.6429      0.045         19.632
 8.5714      0.051         22.369
 8.5000      0.057         25.025
 8.4286      0.063         27.581
 8.3571      0.069         30.003
 8.2857      0.075         32.243
 8.2143      0.082         34.211
 8.1429      0.088         35.725
 8.0714      0.094         36.272
 8.0000      0.100         31.227
