# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.838
 8.8571      0.026         10.146
 8.7857      0.032         12.421
 8.7143      0.038         14.656
 8.6429      0.045         16.846
 8.5714      0.051         18.981
 8.5000      0.057         21.048
 8.4286      0.063         23.031
 8.3571      0.069         24.902
 8.2857      0.075         26.621
 8.2143      0.082         28.115
 8.1429      0.088         29.237
 8.0714      0.094         29.586
 8.0000      0.100         26.261
