# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.858
 8.8571      0.026          9.423
 8.7857      0.032         10.962
 8.7143      0.038         12.472
 8.6429      0.045         13.946
 8.5714      0.051         15.378
 8.5000      0.057         16.759
 8.4286      0.063         18.076
 8.3571      0.069         19.311
 8.2857      0.075         20.432
 8.2143      0.082         21.391
 8.1429      0.088         22.087
 8.0714      0.094         22.271
 8.0000      0.100         20.715
