# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.525
 8.8571      0.026          8.690
 8.7857      0.032          9.833
 8.7143      0.038         10.952
 8.6429      0.045         12.042
 8.5714      0.051         13.099
 8.5000      0.057         14.114
 8.4286      0.063         15.079
 8.3571      0.069         15.978
 8.2857      0.075         16.791
 8.2143      0.082         17.480
 8.1429      0.088         17.980
 8.0714      0.094         18.134
 8.0000      0.100         17.382
