# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.243
 8.8571      0.026         11.709
 8.7857      0.032         15.129
 8.7143      0.038         18.496
 8.6429      0.045         21.801
 8.5714      0.051         25.030
 8.5000      0.057         28.167
 8.4286      0.063         31.186
 8.3571      0.069         34.053
 8.2857      0.075         36.709
 8.2143      0.082         39.051
 8.1429      0.088         40.870
 8.0714      0.094         41.571
 8.0000      0.100         35.408
