# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.884
 8.8571      0.026         10.168
 8.7857      0.032         12.418
 8.7143      0.038         14.630
 8.6429      0.045         16.797
 8.5714      0.051         18.909
 8.5000      0.057         20.954
 8.4286      0.063         22.915
 8.3571      0.069         24.765
 8.2857      0.075         26.464
 8.2143      0.082         27.940
 8.1429      0.088         29.048
 8.0714      0.094         29.389
 8.0000      0.100         26.120
