# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         13.570
 8.8571      0.026         15.280
 8.7857      0.032         16.959
 8.7143      0.038         18.603
 8.6429      0.045         20.206
 8.5714      0.051         21.760
 8.5000      0.057         23.254
 8.4286      0.063         24.674
 8.3571      0.069         25.997
 8.2857      0.075         27.190
 8.2143      0.082         28.198
 8.1429      0.088         28.914
 8.0714      0.094         29.086
 8.0000      0.100         27.754
