# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.555
 8.8571      0.026          9.214
 8.7857      0.032         10.845
 8.7143      0.038         12.444
 8.6429      0.045         14.005
 8.5714      0.051         15.523
 8.5000      0.057         16.985
 8.4286      0.063         18.380
 8.3571      0.069         19.687
 8.2857      0.075         20.876
 8.2143      0.082         21.893
 8.1429      0.088         22.636
 8.0714      0.094         22.848
 8.0000      0.100         21.282
