# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.791
 8.8571      0.026         14.197
 8.7857      0.032         17.551
 8.7143      0.038         20.845
 8.6429      0.045         24.068
 8.5714      0.051         27.207
 8.5000      0.057         30.243
 8.4286      0.063         33.149
 8.3571      0.069         35.888
 8.2857      0.075         38.397
 8.2143      0.082         40.572
 8.1429      0.088         42.199
 8.0714      0.094         42.713
 8.0000      0.100         38.440
