# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.981
 8.8571      0.026         10.814
 8.7857      0.032         13.609
 8.7143      0.038         16.360
 8.6429      0.045         19.057
 8.5714      0.051         21.692
 8.5000      0.057         24.248
 8.4286      0.063         26.706
 8.3571      0.069         29.036
 8.2857      0.075         31.188
 8.2143      0.082         33.077
 8.1429      0.088         34.526
 8.0714      0.094         35.042
 8.0000      0.100         30.269
