# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.829
 8.8571      0.026         10.103
 8.7857      0.032         12.344
 8.7143      0.038         14.544
 8.6429      0.045         16.698
 8.5714      0.051         18.795
 8.5000      0.057         20.824
 8.4286      0.063         22.766
 8.3571      0.069         24.597
 8.2857      0.075         26.273
 8.2143      0.082         27.725
 8.1429      0.088         28.808
 8.0714      0.094         29.138
 8.0000      0.100         26.203
