# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.893
 8.8571      0.026         10.299
 8.7857      0.032         11.681
 8.7143      0.038         13.036
 8.6429      0.045         14.359
 8.5714      0.051         15.644
 8.5000      0.057         16.883
 8.4286      0.063         18.063
 8.3571      0.069         19.168
 8.2857      0.075         20.169
 8.2143      0.082         21.021
 8.1429      0.088         21.631
 8.0714      0.094         21.771
 8.0000      0.100         20.374
