# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.873
 8.8571      0.026          9.359
 8.7857      0.032         10.819
 8.7143      0.038         12.252
 8.6429      0.045         13.651
 8.5714      0.051         15.010
 8.5000      0.057         16.321
 8.4286      0.063         17.570
 8.3571      0.069         18.741
 8.2857      0.075         19.804
 8.2143      0.082         20.712
 8.1429      0.088         21.369
 8.0714      0.094         21.537
 8.0000      0.100         20.057
