# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.084
 8.8571      0.026         11.052
 8.7857      0.032         13.980
 8.7143      0.038         16.862
 8.6429      0.045         19.689
 8.5714      0.051         22.449
 8.5000      0.057         25.129
 8.4286      0.063         27.707
 8.3571      0.069         30.150
 8.2857      0.075         32.409
 8.2143      0.082         34.394
 8.1429      0.088         35.920
 8.0714      0.094         36.473
 8.0000      0.100         31.412
