# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.956
 8.8571      0.026         10.307
 8.7857      0.032         12.625
 8.7143      0.038         14.903
 8.6429      0.045         17.135
 8.5714      0.051         19.311
 8.5000      0.057         21.418
 8.4286      0.063         23.440
 8.3571      0.069         25.348
 8.2857      0.075         27.101
 8.2143      0.082         28.626
 8.1429      0.088         29.773
 8.0714      0.094         30.131
 8.0000      0.100         26.703
