# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.600
 8.8571      0.026         13.135
 8.7857      0.032         17.619
 8.7143      0.038         22.043
 8.6429      0.045         26.397
 8.5714      0.051         30.665
 8.5000      0.057         34.828
 8.4286      0.063         38.857
 8.3571      0.069         42.710
 8.2857      0.075         46.319
 8.2143      0.082         49.561
 8.1429      0.088         52.179
 8.0714      0.094         53.432
 8.0000      0.100         43.039
