# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.725
 8.8571      0.026          9.384
 8.7857      0.032         11.017
 8.7143      0.038         12.618
 8.6429      0.045         14.183
 8.5714      0.051         15.705
 8.5000      0.057         17.173
 8.4286      0.063         18.574
 8.3571      0.069         19.889
 8.2857      0.075         21.086
 8.2143      0.082         22.111
 8.1429      0.088         22.860
 8.0714      0.094         23.060
 8.0000      0.100         21.298
