# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.967
 8.8571      0.026         10.674
 8.7857      0.032         13.343
 8.7143      0.038         15.970
 8.6429      0.045         18.545
 8.5714      0.051         21.059
 8.5000      0.057         23.497
 8.4286      0.063         25.840
 8.3571      0.069         28.058
 8.2857      0.075         30.105
 8.2143      0.082         31.897
 8.1429      0.088         33.264
 8.0714      0.094         33.735
 8.0000      0.100         29.337
