# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.788
 8.8571      0.026         11.414
 8.7857      0.032         15.986
 8.7143      0.038         20.495
 8.6429      0.045         24.928
 8.5714      0.051         29.272
 8.5000      0.057         33.505
 8.4286      0.063         37.598
 8.3571      0.069         41.507
 8.2857      0.075         45.162
 8.2143      0.082         48.438
 8.1429      0.088         51.077
 8.0714      0.094         52.336
 8.0000      0.100         42.342
