# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.833
 8.8571      0.026         12.493
 8.7857      0.032         16.105
 8.7143      0.038         19.661
 8.6429      0.045         23.152
 8.5714      0.051         26.564
 8.5000      0.057         29.880
 8.4286      0.063         33.072
 8.3571      0.069         36.105
 8.2857      0.075         38.915
 8.2143      0.082         41.397
 8.1429      0.088         43.326
 8.0714      0.094         44.075
 8.0000      0.100         37.435
