# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.091
 8.8571      0.026          7.828
 8.7857      0.032          9.535
 8.7143      0.038         11.209
 8.6429      0.045         12.842
 8.5714      0.051         14.429
 8.5000      0.057         15.958
 8.4286      0.063         17.416
 8.3571      0.069         18.784
 8.2857      0.075         20.030
 8.2143      0.082         21.102
 8.1429      0.088         21.900
 8.0714      0.094         22.179
 8.0000      0.100         20.797
