# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.323
 8.8571      0.026         11.760
 8.7857      0.032         15.153
 8.7143      0.038         18.496
 8.6429      0.045         21.778
 8.5714      0.051         24.987
 8.5000      0.057         28.107
 8.4286      0.063         31.114
 8.3571      0.069         33.973
 8.2857      0.075         36.627
 8.2143      0.082         38.976
 8.1429      0.088         40.810
 8.0714      0.094         41.541
 8.0000      0.100         35.034
