# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.284
 8.8571      0.026          9.963
 8.7857      0.032         11.617
 8.7143      0.038         13.240
 8.6429      0.045         14.828
 8.5714      0.051         16.374
 8.5000      0.057         17.868
 8.4286      0.063         19.296
 8.3571      0.069         20.638
 8.2857      0.075         21.863
 8.2143      0.082         22.916
 8.1429      0.088         23.686
 8.0714      0.094         23.880
 8.0000      0.100         21.777
