# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.553
 8.8571      0.026          8.583
 8.7857      0.032          9.594
 8.7143      0.038         10.583
 8.6429      0.045         11.546
 8.5714      0.051         12.478
 8.5000      0.057         13.373
 8.4286      0.063         14.221
 8.3571      0.069         15.012
 8.2857      0.075         15.724
 8.2143      0.082         16.329
 8.1429      0.088         16.768
 8.0714      0.094         16.918
 8.0000      0.100         16.375
