# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.200
 8.8571      0.026         12.761
 8.7857      0.032         17.270
 8.7143      0.038         21.717
 8.6429      0.045         26.091
 8.5714      0.051         30.377
 8.5000      0.057         34.555
 8.4286      0.063         38.597
 8.3571      0.069         42.458
 8.2857      0.075         46.069
 8.2143      0.082         49.306
 8.1429      0.088         51.909
 8.0714      0.094         53.134
 8.0000      0.100         43.039
