# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.296
 8.8571      0.026          9.995
 8.7857      0.032         12.655
 8.7143      0.038         15.272
 8.6429      0.045         17.837
 8.5714      0.051         20.340
 8.5000      0.057         22.768
 8.4286      0.063         25.099
 8.3571      0.069         27.305
 8.2857      0.075         29.340
 8.2143      0.082         31.121
 8.1429      0.088         32.480
 8.0714      0.094         32.956
 8.0000      0.100         28.730
