# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.155
 8.8571      0.026         11.238
 8.7857      0.032         14.280
 8.7143      0.038         17.276
 8.6429      0.045         20.215
 8.5714      0.051         23.088
 8.5000      0.057         25.878
 8.4286      0.063         28.565
 8.3571      0.069         31.114
 8.2857      0.075         33.476
 8.2143      0.082         35.556
 8.1429      0.088         37.167
 8.0714      0.094         37.772
 8.0000      0.100         32.248
