# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.437
 8.8571      0.026         11.794
 8.7857      0.032         15.108
 8.7143      0.038         18.371
 8.6429      0.045         21.574
 8.5714      0.051         24.705
 8.5000      0.057         27.747
 8.4286      0.063         30.677
 8.3571      0.069         33.460
 8.2857      0.075         36.040
 8.2143      0.082         38.318
 8.1429      0.088         40.089
 8.0714      0.094         40.773
 8.0000      0.100         34.624
