# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.368
 8.8571      0.026         11.741
 8.7857      0.032         15.071
 8.7143      0.038         18.350
 8.6429      0.045         21.570
 8.5714      0.051         24.719
 8.5000      0.057         27.778
 8.4286      0.063         30.727
 8.3571      0.069         33.528
 8.2857      0.075         36.127
 8.2143      0.082         38.425
 8.1429      0.088         40.215
 8.0714      0.094         40.917
 8.0000      0.100         34.624
