# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.336
 8.8571      0.026         13.274
 8.7857      0.032         17.169
 8.7143      0.038         21.014
 8.6429      0.045         24.799
 8.5714      0.051         28.511
 8.5000      0.057         32.134
 8.4286      0.063         35.643
 8.3571      0.069         39.002
 8.2857      0.075         42.150
 8.2143      0.082         44.981
 8.1429      0.088         47.271
 8.0714      0.094         48.363
 8.0000      0.100         39.002
