# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.138
 8.8571      0.026          8.826
 8.7857      0.032         10.485
 8.7143      0.038         12.109
 8.6429      0.045         13.695
 8.5714      0.051         15.233
 8.5000      0.057         16.715
 8.4286      0.063         18.127
 8.3571      0.069         19.448
 8.2857      0.075         20.649
 8.2143      0.082         21.678
 8.1429      0.088         22.437
 8.0714      0.094         22.689
 8.0000      0.100         21.420
