# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.867
 8.8571      0.026         10.115
 8.7857      0.032         12.331
 8.7143      0.038         14.509
 8.6429      0.045         16.641
 8.5714      0.051         18.720
 8.5000      0.057         20.732
 8.4286      0.063         22.661
 8.3571      0.069         24.481
 8.2857      0.075         26.151
 8.2143      0.082         27.601
 8.1429      0.088         28.687
 8.0714      0.094         29.018
 8.0000      0.100         25.849
