# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.680
 8.8571      0.026         11.709
 8.7857      0.032         12.716
 8.7143      0.038         13.699
 8.6429      0.045         14.653
 8.5714      0.051         15.574
 8.5000      0.057         16.457
 8.4286      0.063         17.293
 8.3571      0.069         18.073
 8.2857      0.075         18.782
 8.2143      0.082         19.398
 8.1429      0.088         19.888
 8.0714      0.094         20.191
 8.0000      0.100         20.184
