# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.826
 8.8571      0.026         15.622
 8.7857      0.032         19.375
 8.7143      0.038         23.078
 8.6429      0.045         26.721
 8.5714      0.051         30.290
 8.5000      0.057         33.770
 8.4286      0.063         37.135
 8.3571      0.069         40.348
 8.2857      0.075         43.349
 8.2143      0.082         46.030
 8.1429      0.088         48.164
 8.0714      0.094         49.087
 8.0000      0.100         40.540
