# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.395
 8.8571      0.026         11.939
 8.7857      0.032         15.441
 8.7143      0.038         18.892
 8.6429      0.045         22.283
 8.5714      0.051         25.603
 8.5000      0.057         28.835
 8.4286      0.063         31.954
 8.3571      0.069         34.926
 8.2857      0.075         37.693
 8.2143      0.082         40.155
 8.1429      0.088         42.099
 8.0714      0.094         42.920
 8.0000      0.100         35.664
