# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.878
 8.8571      0.026          9.993
 8.7857      0.032         12.077
 8.7143      0.038         14.124
 8.6429      0.045         16.128
 8.5714      0.051         18.080
 8.5000      0.057         19.968
 8.4286      0.063         21.777
 8.3571      0.069         23.481
 8.2857      0.075         25.042
 8.2143      0.082         26.394
 8.1429      0.088         27.399
 8.0714      0.094         27.695
 8.0000      0.100         24.871
