# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.878
 8.8571      0.026          9.797
 8.7857      0.032         11.687
 8.7143      0.038         13.543
 8.6429      0.045         15.358
 8.5714      0.051         17.125
 8.5000      0.057         18.833
 8.4286      0.063         20.466
 8.3571      0.069         22.002
 8.2857      0.075         23.406
 8.2143      0.082         24.616
 8.1429      0.088         25.509
 8.0714      0.094         25.758
 8.0000      0.100         23.395
