# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.475
 8.8571      0.026         14.951
 8.7857      0.032         18.383
 8.7143      0.038         21.765
 8.6429      0.045         25.086
 8.5714      0.051         28.335
 8.5000      0.057         31.495
 8.4286      0.063         34.540
 8.3571      0.069         37.436
 8.2857      0.075         40.123
 8.2143      0.082         42.498
 8.1429      0.088         44.343
 8.0714      0.094         45.036
 8.0000      0.100         38.225
