# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.146
 8.8571      0.026         11.433
 8.7857      0.032         14.677
 8.7143      0.038         17.873
 8.6429      0.045         21.010
 8.5714      0.051         24.077
 8.5000      0.057         27.058
 8.4286      0.063         29.930
 8.3571      0.069         32.659
 8.2857      0.075         35.190
 8.2143      0.082         37.427
 8.1429      0.088         39.169
 8.0714      0.094         39.850
 8.0000      0.100         33.746
