# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.031
 8.8571      0.026         10.810
 8.7857      0.032         13.548
 8.7143      0.038         16.242
 8.6429      0.045         18.881
 8.5714      0.051         21.456
 8.5000      0.057         23.951
 8.4286      0.063         26.347
 8.3571      0.069         28.612
 8.2857      0.075         30.699
 8.2143      0.082         32.521
 8.1429      0.088         33.905
 8.0714      0.094         34.373
 8.0000      0.100         30.142
