# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.742
 8.8571      0.026         12.405
 8.7857      0.032         16.023
 8.7143      0.038         19.586
 8.6429      0.045         23.087
 8.5714      0.051         26.511
 8.5000      0.057         29.841
 8.4286      0.063         33.053
 8.3571      0.069         36.108
 8.2857      0.075         38.947
 8.2143      0.082         41.464
 8.1429      0.088         43.438
 8.0714      0.094         44.240
 8.0000      0.100         37.117
