# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.604
 8.8571      0.026         10.249
 8.7857      0.032         12.858
 8.7143      0.038         15.424
 8.6429      0.045         17.941
 8.5714      0.051         20.398
 8.5000      0.057         22.782
 8.4286      0.063         25.073
 8.3571      0.069         27.242
 8.2857      0.075         29.245
 8.2143      0.082         30.999
 8.1429      0.088         32.341
 8.0714      0.094         32.809
 8.0000      0.100         28.474
