# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.082
 8.8571      0.026          9.843
 8.7857      0.032         11.576
 8.7143      0.038         13.276
 8.6429      0.045         14.938
 8.5714      0.051         16.553
 8.5000      0.057         18.112
 8.4286      0.063         19.600
 8.3571      0.069         20.996
 8.2857      0.075         22.267
 8.2143      0.082         23.357
 8.1429      0.088         24.153
 8.0714      0.094         24.368
 8.0000      0.100         22.489
