# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.437
 8.8571      0.026         11.767
 8.7857      0.032         15.052
 8.7143      0.038         18.285
 8.6429      0.045         21.457
 8.5714      0.051         24.556
 8.5000      0.057         27.564
 8.4286      0.063         30.458
 8.3571      0.069         33.202
 8.2857      0.075         35.740
 8.2143      0.082         37.974
 8.1429      0.088         39.697
 8.0714      0.094         40.338
 8.0000      0.100         34.624
