# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.190
 8.8571      0.026         11.491
 8.7857      0.032         14.749
 8.7143      0.038         17.958
 8.6429      0.045         21.108
 8.5714      0.051         24.188
 8.5000      0.057         27.182
 8.4286      0.063         30.066
 8.3571      0.069         32.806
 8.2857      0.075         35.348
 8.2143      0.082         37.594
 8.1429      0.088         39.343
 8.0714      0.094         40.027
 8.0000      0.100         33.897
