# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.653
 8.8571      0.026          7.527
 8.7857      0.032          9.374
 8.7143      0.038         11.192
 8.6429      0.045         12.974
 8.5714      0.051         14.714
 8.5000      0.057         16.401
 8.4286      0.063         18.022
 8.3571      0.069         19.556
 8.2857      0.075         20.971
 8.2143      0.082         22.209
 8.1429      0.088         23.153
 8.0714      0.094         23.474
 8.0000      0.100         20.449
