# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.157
 8.8571      0.026         11.292
 8.7857      0.032         12.407
 8.7143      0.038         13.499
 8.6429      0.045         14.562
 8.5714      0.051         15.592
 8.5000      0.057         16.581
 8.4286      0.063         17.520
 8.3571      0.069         18.394
 8.2857      0.075         19.180
 8.2143      0.082         19.842
 8.1429      0.088         20.312
 8.0714      0.094         20.429
 8.0000      0.100         19.633
