# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.576
 8.8571      0.026         11.884
 8.7857      0.032         15.149
 8.7143      0.038         18.363
 8.6429      0.045         21.519
 8.5714      0.051         24.603
 8.5000      0.057         27.599
 8.4286      0.063         30.485
 8.3571      0.069         33.225
 8.2857      0.075         35.765
 8.2143      0.082         38.005
 8.1429      0.088         39.743
 8.0714      0.094         40.407
 8.0000      0.100         34.383
