# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.052
 8.8571      0.026         12.750
 8.7857      0.032         16.402
 8.7143      0.038         20.000
 8.6429      0.045         23.534
 8.5714      0.051         26.990
 8.5000      0.057         30.351
 8.4286      0.063         33.591
 8.3571      0.069         36.673
 8.2857      0.075         39.535
 8.2143      0.082         42.071
 8.1429      0.088         44.056
 8.0714      0.094         44.854
 8.0000      0.100         37.720
