# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.906
 8.8571      0.026         10.285
 8.7857      0.032         12.630
 8.7143      0.038         14.935
 8.6429      0.045         17.194
 8.5714      0.051         19.396
 8.5000      0.057         21.529
 8.4286      0.063         23.576
 8.3571      0.069         25.509
 8.2857      0.075         27.286
 8.2143      0.082         28.832
 8.1429      0.088         29.997
 8.0714      0.094         30.366
 8.0000      0.100         26.850
