# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.760
 8.8571      0.026          9.421
 8.7857      0.032         11.056
 8.7143      0.038         12.659
 8.6429      0.045         14.227
 8.5714      0.051         15.750
 8.5000      0.057         17.221
 8.4286      0.063         18.625
 8.3571      0.069         19.943
 8.2857      0.075         21.142
 8.2143      0.082         22.171
 8.1429      0.088         22.921
 8.0714      0.094         23.121
 8.0000      0.100         21.320
