# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.714
 8.8571      0.026          9.354
 8.7857      0.032         10.968
 8.7143      0.038         12.550
 8.6429      0.045         14.097
 8.5714      0.051         15.600
 8.5000      0.057         17.050
 8.4286      0.063         18.434
 8.3571      0.069         19.732
 8.2857      0.075         20.914
 8.2143      0.082         21.925
 8.1429      0.088         22.663
 8.0714      0.094         22.861
 8.0000      0.100         21.152
