# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.653
 8.8571      0.026          7.554
 8.7857      0.032          9.429
 8.7143      0.038         11.274
 8.6429      0.045         13.083
 8.5714      0.051         14.848
 8.5000      0.057         16.561
 8.4286      0.063         18.207
 8.3571      0.069         19.765
 8.2857      0.075         21.202
 8.2143      0.082         22.461
 8.1429      0.088         23.421
 8.0714      0.094         23.751
 8.0000      0.100         20.655
