# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.794
 8.8571      0.026          9.593
 8.7857      0.032         11.364
 8.7143      0.038         13.102
 8.6429      0.045         14.802
 8.5714      0.051         16.455
 8.5000      0.057         18.052
 8.4286      0.063         19.577
 8.3571      0.069         21.011
 8.2857      0.075         22.318
 8.2143      0.082         23.442
 8.1429      0.088         24.267
 8.0714      0.094         24.492
 8.0000      0.100         22.424
