# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.377
 8.8571      0.026         10.047
 8.7857      0.032         11.691
 8.7143      0.038         13.306
 8.6429      0.045         14.886
 8.5714      0.051         16.424
 8.5000      0.057         17.911
 8.4286      0.063         19.333
 8.3571      0.069         20.671
 8.2857      0.075         21.893
 8.2143      0.082         22.944
 8.1429      0.088         23.713
 8.0714      0.094         23.906
 8.0000      0.100         21.734
