# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.676
 8.8571      0.026         12.556
 8.7857      0.032         16.388
 8.7143      0.038         20.165
 8.6429      0.045         23.876
 8.5714      0.051         27.508
 8.5000      0.057         31.043
 8.4286      0.063         34.455
 8.3571      0.069         37.705
 8.2857      0.075         40.731
 8.2143      0.082         43.422
 8.1429      0.088         45.548
 8.0714      0.094         46.450
 8.0000      0.100         38.593
