# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.859
 8.8571      0.026         10.216
 8.7857      0.032         12.537
 8.7143      0.038         14.818
 8.6429      0.045         17.051
 8.5714      0.051         19.226
 8.5000      0.057         21.331
 8.4286      0.063         23.347
 8.3571      0.069         25.248
 8.2857      0.075         26.991
 8.2143      0.082         28.502
 8.1429      0.088         29.633
 8.0714      0.094         29.983
 8.0000      0.100         26.845
