# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.750
 8.8571      0.026         12.492
 8.7857      0.032         16.187
 8.7143      0.038         19.828
 8.6429      0.045         23.404
 8.5714      0.051         26.903
 8.5000      0.057         30.306
 8.4286      0.063         33.589
 8.3571      0.069         36.712
 8.2857      0.075         39.616
 8.2143      0.082         42.192
 8.1429      0.088         44.215
 8.0714      0.094         45.046
 8.0000      0.100         37.717
