# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.216
 8.8571      0.026          8.622
 8.7857      0.032         10.005
 8.7143      0.038         11.361
 8.6429      0.045         12.684
 8.5714      0.051         13.969
 8.5000      0.057         15.207
 8.4286      0.063         16.386
 8.3571      0.069         17.490
 8.2857      0.075         18.492
 8.2143      0.082         19.347
 8.1429      0.088         19.968
 8.0714      0.094         20.139
 8.0000      0.100         18.874
