# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.245
 8.8571      0.026         14.023
 8.7857      0.032         17.747
 8.7143      0.038         21.407
 8.6429      0.045         24.991
 8.5714      0.051         28.486
 8.5000      0.057         31.870
 8.4286      0.063         35.116
 8.3571      0.069         38.181
 8.2857      0.075         41.001
 8.2143      0.082         43.459
 8.1429      0.088         45.321
 8.0714      0.094         45.954
 8.0000      0.100         40.648
