# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.062
 8.8571      0.026         11.086
 8.7857      0.032         14.069
 8.7143      0.038         17.005
 8.6429      0.045         19.886
 8.5714      0.051         22.700
 8.5000      0.057         25.432
 8.4286      0.063         28.061
 8.3571      0.069         30.554
 8.2857      0.075         32.861
 8.2143      0.082         34.890
 8.1429      0.088         36.454
 8.0714      0.094         37.030
 8.0000      0.100         31.783
