# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.119
 8.8571      0.026         11.269
 8.7857      0.032         14.378
 8.7143      0.038         17.438
 8.6429      0.045         20.442
 8.5714      0.051         23.377
 8.5000      0.057         26.228
 8.4286      0.063         28.972
 8.3571      0.069         31.576
 8.2857      0.075         33.988
 8.2143      0.082         36.114
 8.1429      0.088         37.759
 8.0714      0.094         38.380
 8.0000      0.100         32.769
